Datetime,PJME_MW,Log_MW,Log_Diff,Log_Diff_Monthly,day_of_week,month,year,is_weekend,is_holiday,lag_1,lag_7,lag_30,roll_mean_7,roll_std_7
2010-08-26,34626.833333333336,10.452384190343045,0.0625020358491497,0.0362514475036181,3,8,2010,0,0,32528.83333333333,38608.458333333336,39217.333333333336,35081.16071428572,2592.884146580279
2010-08-27,32561.875,10.390897404453552,-0.0614867858894925,-0.1339357245509536,4,8,2010,0,0,34626.833333333336,39928.625,42164.04166666666,34028.767857142855,1603.8736761403436
2010-08-28,30803.25,10.335375482875396,-0.0555219215781566,-0.08275611923702,5,8,2010,1,0,32561.875,35479.416666666664,43328.125,33360.744047619046,1853.38687370066
2010-08-29,33822.875,10.428892627710011,0.0935171448346174,0.2573082464155725,6,8,2010,1,0,30803.25,35599.291666666664,36782.083333333336,33106.97023809524,1600.0999432972242
2010-08-30,40086.125,10.598785543444334,0.1698929157343212,0.2767221119851495,0,8,2010,0,0,33822.875,35418.875,33055.291666666664,33773.72023809524,3044.4957873797584
2010-08-31,42149.25,10.648972169677387,0.050186626233053,0.0780919301045059,1,8,2010,0,0,40086.125,31986.25,32145.625,35225.57738095238,4238.965133022
2010-09-01,43700.25,10.685109101891117,0.0361369322137292,-0.0773498288373435,2,9,2010,0,0,42149.25,32528.83333333333,36008.791666666664,36821.494047619046,5074.970441406736
2010-09-02,44372.375,10.700372370098416,0.0152632682073008,-0.0631197250119903,3,9,2010,0,0,43700.25,34626.833333333336,38944.833333333336,38213.71428571428,5673.965060601786
2010-09-03,39908.375,10.594341480601456,-0.1060308894969601,-0.2253946849740167,4,9,2010,0,0,44372.375,32561.875,43882.25,39263.21428571428,5105.254040831836
2010-09-04,31468.58333333333,10.35674497262743,-0.2375965079740272,-0.2549978276015796,5,9,2010,1,0,39908.375,30803.25,44652.54166666666,39358.2619047619,4924.492368891546
2010-09-05,26734.0,10.19369144253142,-0.1630535300960112,-0.0879775764082317,6,9,2010,1,0,31468.58333333333,33822.875,41422.958333333336,38345.56547619047,6671.535962669446
2010-09-06,28318.58333333333,10.251273523015948,0.0575820804845292,0.2450931544214043,0,9,2010,0,1,26734.0,40086.125,34340.458333333336,36664.48809523809,7580.512602710923
2010-09-07,36644.91666666666,10.509029998286325,0.2577564752703747,0.2153695745543729,1,9,2010,0,0,28318.58333333333,42149.25,35827.333333333336,35878.154761904756,7192.29398998523
2010-09-08,38740.833333333336,10.564649447657182,0.0556194493708588,-0.1311317849475717,2,9,2010,0,0,36644.91666666666,43700.25,43183.66666666666,35169.666666666664,6504.74985494051
2010-09-09,31248.375,10.3497226538125,-0.2149267938446808,-0.2607818361881406,3,9,2010,0,0,38740.833333333336,44372.375,45209.958333333336,33294.80952380952,5163.1980815495435
2010-09-10,29684.166666666668,10.298369073771292,-0.0513535800412086,-0.0595957203021626,4,9,2010,0,0,31248.375,39908.375,45584.125,31834.208333333332,4364.930111058222
2010-09-11,27522.33333333333,10.222753075274786,-0.0756159984965059,0.0472705574451257,5,9,2010,1,0,29684.166666666668,31468.58333333333,40312.958333333336,31270.458333333336,4664.575278701455
2010-09-12,26597.916666666668,10.188588170900552,-0.0341649043742346,0.0909820459578529,6,9,2010,1,0,27522.33333333333,26734.0,35570.833333333336,31251.01785714285,4686.863220319493
2010-09-13,30889.58333333333,10.338174297098227,0.1495861261976756,0.2577044661226715,0,9,2010,0,0,26597.916666666668,28318.58333333333,31925.58333333333,31618.303571428572,4516.401447004839
2010-09-14,31029.0,10.342677530045911,0.0045032329476857,0.0307941956217359,1,9,2010,0,0,30889.58333333333,36644.91666666666,31097.166666666668,30816.02976190476,3936.2043649305324
2010-09-15,30443.20833333333,10.323618205019915,-0.0190593250259976,-0.2820350090868029,2,9,2010,0,0,31029.0,38740.833333333336,40451.04166666666,29630.65476190476,1846.7501072825723
